product_name,brand,ingredients,size,category,product_url,product_img,brand_page,additional_information
Vitamin C Facial Serum with MSM,Cos de BAHA,"Sodium Ascorbyl Phosphate (Vitamin C derivative), MSM (Dimethyl Sulfone, “Nature’s Beauty Mineral”), Ferulic Acid, Tocopheryl Acetate (Vitamin E derivative), Hyaluronic Acid, Aloe Barbadensis Leaf Extract & Allantoin",30ml,Wholesale Face Care,https://qudobeauty.com/product/cos-de-baha-vitamin-c-facial-serum-with-msm-30ml/,https://qudobeauty.com/wp-content/uploads/2025/04/rum_pl_Cos-De-BAHA-VM-Vitamin-C-MSM-Serum-Serum-cu-vitamina-C-si-MSM-30ml-16940_1-300x300.webp,https://cosdebahaofficial.com/,"Vitamin C Facial Serum with MSM - for Fades Age Spots, Smoothing Fine Lines + Dark Spots, Pore Refining, Resurfacing, 1 Fl Oz (30ml) · $15.39 · Share."
AHA 7 Whitehead Power Liquid,COSRX,"Glycolic Acid (7%), Apple Fruit Water, Niacinamide, Panthenol (Vitamin B5) & Sodium Hyaluronate",100ml,Wholesale Face Care,https://qudobeauty.com/product/cosrx-aha-7-whitehead-power-liquid-100ml/,https://qudobeauty.com/wp-content/uploads/2025/04/8809416470047-300x300.avif,,
Heartleaf 77% Clear Toner Pads -,Anua,"Heartleaf (Houttuynia Cordata) Extract (77%), Centella Asiatica Extract, Panthenol (Vitamin B5), Allantoin, Hyaluronic Acid",160ml,Wholesale Face Care,https://qudobeauty.com/product/anua-heartleaf-77-clear-toner-pads-160ml/,https://qudobeauty.com/wp-content/uploads/2025/04/ANUA_Heartleaf_77_Clear_Pad_grande-300x300.webp,,
Tranexamic Acid Niacinamide (TN),Cos de BAHA,"Tranexamic Acid (5%), Niacinamide (5%), Hyaluronic Acid, Aloe Barbadensis Leaf Extract & Allantoin",30ml,Wholesale Face Care,https://qudobeauty.com/product/cos-de-baha-tranexamic-acid-niacinamide-tn-30ml/,https://qudobeauty.com/wp-content/uploads/2025/04/TN2-300x300.webp,https://cosdebahaofficial.com/,helped brighten acne scars and improved the texture of my skin. Verified purchase. Rewarded review. this serum is so good for my skin.. i decided to try ...
Vegan Collagen Eye Serum,AXIS-Y,"Vegan Collagen, Niacinamide (Vitamin B3), Panthenol (Vitamin B5), Adenosine, Hyaluronic Acid, Green Tea Extract",10ml,Wholesale Face Care,https://qudobeauty.com/product/axis-y-vegan-collagen-eye-serum-10ml/,https://qudobeauty.com/wp-content/uploads/2025/04/res_724db353726eb02b961e903beedeecc9-copy-300x300.png,https://www.axis-y.com/,"Under Eye Brightener: Targets puffiness, dark circles, and fine lines with a vegan collagen and peptide complex that improves circulation and supports skin ..."
The Retinol 0.1 Cream,COSRX,"Retinol (0.1%), Panthenol (Vitamin B5), Adenosine, Tocotrienol (Vitamin E), Sodium Hyaluronate & Hydrolyzed Hyaluronic Acid",20ml,Wholesale Face Care,https://qudobeauty.com/product/cosrx-the-retinol-0-1-cream-20ml/,https://qudobeauty.com/wp-content/uploads/2025/04/COSRX-The-Retinol-0.1-Cream-20ml-1000x1000.jpg-300x300.webp,,
Gummy Sheet Mask #Vita Sticker,ABIB,"Multi-Vitamin Complex (B3, B5, B7, B9, C, E), Niacinamide (Vitamin B3), Vitamin C Derivative, Panthenol (Vitamin B5), Hyaluronic Acid, Allantoin, Adenosine",27ml,Wholesale Face Care,https://qudobeauty.com/product/abib-gummy-sheet-mask-vita-sticker-27ml/,https://qudobeauty.com/wp-content/uploads/2025/04/Abib-Gummy-Sheet-Mask-Vita-Sticker--300x300.webp,,
Red Bean Refreshing Pore Mask,Beauty of Joseon,"Red Bean Extract (Haenam Red Bean 30%), Kaolin Clay, Peptide Complex, Allantoin, Panthenol (Vitamin B5), Hyaluronic Acid",140ml,Wholesale Face Care,https://qudobeauty.com/product/beauty-of-joseon-red-bean-refreshing-pore-mask-140ml/,https://qudobeauty.com/wp-content/uploads/2025/04/8809738316986-300x300.jpg,https://beautyofjoseon.com/,Pore Cleansing Excellence: Immerse your face in the deeply cleansing and hydrating power of red bean with our Beauty of Joseon Pore Refreshing Mask.
Centella Blemish Cream,COSRX,"Centella Asiatica Extract, Zinc Oxide, Tea Tree Leaf Oil, Hydrating and barrier-supporting emollients",30ml,Wholesale Face Care,https://qudobeauty.com/product/cosrx-centella-blemish-cream-30ml/,https://qudobeauty.com/wp-content/uploads/2025/04/kremas-nuo-spuogu-centella-blemish-cream-800x800_0-300x300.webp,https://www.cosrx.com/,"Sep 23, 2016 ... I like it for a daytime spot treatment. It helps dry out pimples without having a sticker (acne patch) on my face."
Daily Purifying Treatment Toner,AXIS-Y,"Salicylic Acid (BHA), Tea Tree Extract, Centella Asiatica Extract, Witch Hazel Extract, Allantoin, Papaya Extract",200ml,Wholesale Face Care,https://qudobeauty.com/product/axis-y-daily-purifying-treatment-toner-200ml/,https://qudobeauty.com/wp-content/uploads/2025/04/axis-y-daily-purifying-treatment-toner-200ml-copy-300x300.webp,,
Birch 70 Moisture Boosting Serum,Anua,"Birch Sap (70%), Hyaluronic Acid, Panthenol (Vitamin B5), Allantoin, Centella Asiatica Extract",30ml,Wholesale Face Care,https://qudobeauty.com/product/anua-birch-70-moisture-boosting-serum-30ml/,https://qudobeauty.com/wp-content/uploads/2025/04/41pOWQSEMYL-300x300.jpg,,
To Be Youthful Eye Serum,Dr. Althea,"Multi-Peptide Complex, Niacinamide, Hyaluronic Acid, Panthenol (Vitamin B5), Soothing Botanical Extracts (e.g., Centella Asiatica)",25 ml,Wholesale Face Care,https://qudobeauty.com/product/dr-althea-to-be-youthful-eye-serum-25-ml/,https://qudobeauty.com/wp-content/uploads/2025/04/Dr.Althea-ToBeYouthfulEyeSerum-25ML-8809447254395-1-removebg-preview-300x300.png,,
Advanced Snail Mucin Power Sheet Mask,COSRX,"Snail Secretion Filtrate (Snail Mucin), Sodium Hyaluronate, Panthenol (Vitamin B5), Allantoin, Hydrating and skin-repairing agents",25ml,Wholesale Face Care,https://qudobeauty.com/product/advanced-snail-mucin-power-sheet-mask-25ml/,https://qudobeauty.com/wp-content/uploads/2025/04/cosrx-advanced-snail-mucin-power-sheet-mask-8809598452442-888280-300x300.webp,,
New Skin Resolution Gel Mask,AXIS-Y,"Heartleaf (Houttuynia Cordata) Extract, Niacinamide (Vitamin B3), Centella Asiatica Extract, Mugwort Extract, Allantoin, Hyaluronic Acid",100ml,Wholesale Face Care,https://qudobeauty.com/product/axis-y-new-skin-resolution-gel-mask-100ml/,https://qudobeauty.com/wp-content/uploads/2025/04/axis-y-new-skin-resolution-gel-mask-100ml-copy-300x300.webp,,
Calming Serum Green Tea + Panthenol,Beauty of Joseon,"Green Tea Extract (50%), Panthenol (Vitamin B5, 30%), Centella Asiatica Extract, Mugwort Extract (Artemisia Princeps), Hyaluronic Acid, Allantoin",30ml,Wholesale Face Care,https://qudobeauty.com/product/beauty-of-joseon-calming-serum-green-tea-panthenol-30-ml/,https://qudobeauty.com/wp-content/uploads/2025/04/1751784245686a1b2b79f23-300x300.jpg,,
Low-pH Good Morning Cleanser,COSRX,"Betaine Salicylate (BHA-type exfoliant), Tea Tree Leaf Oil",150ml,Wholesale Face Care,https://qudobeauty.com/product/low-ph-good-morning-gel-cleanser-150ml/,https://qudobeauty.com/wp-content/uploads/2025/04/8809416470511-300x300.avif,,
"Glutathione Niacinamide, Beauty Sheet Mask, 1 sheet",APLB,"Glutathione, Niacinamide (Vitamin B3), Panthenol (Vitamin B5), Hyaluronic Acid, Allantoin, Adenosine",25ml,Wholesale Face Care,https://qudobeauty.com/product/aplb-glutathione-niacinamide-beauty-sheet-mask-1-sheet-25-ml-0-85-fl-oz/,https://qudobeauty.com/wp-content/uploads/2025/04/APLB-Glutathione-Niacinamide-Sheet-Mask-25ml-koreashop-300x300.webp,,
The Hyaluronic Acid 3 Serum,COSRX,"Sodium Hyaluronate (3%), Natural Moisturising Factor (Amino Acid Complex), Ceramide NP, Additional humectants and soothing agents",20ml,Wholesale Face Care,https://qudobeauty.com/product/cosrx-the-hyaluronic-acid-3-serum-20ml/,https://qudobeauty.com/wp-content/uploads/2025/04/COSRX-The-Hyaluronic-Acid-3-Serum-300x300.jpg,https://www.cosrx.com/,Dermatological Ingredients: 3% Pure Hyaluronic Acid helps retain mositure and instantly plumps skin. Ceramide & NMF (Natural Moisturising Factors) strengthen ...
Visible Difference Handcream Black Pearl,Farmstay,"Black Pearl Extract, Shea Butter & Jojoba Oil, Hyaluronic Acid, Luxurious Emollients, Subtle, Elegant Fragrance",100ml,Wholesale Face Care,https://qudobeauty.com/product/farmstay-visible-difference-handcreme-black-pearl-100ml/,https://qudobeauty.com/wp-content/uploads/2025/04/xkltz07efgv38qbj6kx5fgypkuxjt93i-300x300.webp,,
Heartleaf TECA Capsule Serum Calming Drop,ABIB,"Heartleaf (Houttuynia Cordata) Extract, TECA (Centella Asiatica Extract Complex: Madecassoside, Asiaticoside, Asiatic Acid, Madecassic Acid), Panthenol (Vitamin B5), Niacinamide (Vitamin B3), Hyaluronic Acid, Allantoin, Adenosine",50ml,Wholesale Face Care,https://qudobeauty.com/product/abib-heartleaf-teca-capsule-serum-calming-drop-50ml/,https://qudobeauty.com/wp-content/uploads/2025/04/AbibHeartleafTecaCapsuleSerumCalmingDrop50ml-1-300x300.webp,,
147 Cream Barrier,Dr. Althea,"Ceramide Complex, Centella Asiatica Extract, Panthenol (Vitamin B5), Hyaluronic Acid, Botanical Soothing Agents",50ml,Wholesale Face Care,https://qudobeauty.com/product/dr-althea-147-cream-barrier-50-ml/,https://qudobeauty.com/wp-content/uploads/2025/04/crema-faciala-hidratanta-147-barrier-cream-50ml-dr-althea-2-300x300.jpg,,
Tranexamic Acid 10 Serum TT,Cos de BAHA,"Tranexamic Acid (10%), Niacinamide (2%), Centella Asiatica Extract, Sodium Hyaluronate (Hyaluronic Acid), Panthenol & Allantoin, Botanical Antioxidants (EGCG, Glutathione, Camellia Sinensis Leaf Extract)",30ml,Wholesale Face Care,https://qudobeauty.com/product/cos-de-baha-tranexamic-acid-10-serum-tt-30ml/,https://qudobeauty.com/wp-content/uploads/2025/04/Cos-De-Baha-TT-Tranexamic-Acid-Facial-Serum-30ml-300x300.jpg,https://cosdebahaofficial.com/,"Dec 22, 2023 ... It has a very subtle neutral scent, and glides easily on skin. The texture is of light moisturizer, and dries up without greasy feeling, leaving ..."
Peach 77% Niacin Enriched Cream,Anua,"Peach Extract (77%), Niacinamide (Vitamin B3), Panthenol (Vitamin B5), Hyaluronic Acid, Centella Asiatica Extract, Allantoin",50ml,Wholesale Face Care,https://qudobeauty.com/product/anua-peach-77-niacin-enriched-cream-50ml/,https://qudobeauty.com/wp-content/uploads/2025/04/anua-peach-77-niacin-enriched-cream-crema-faciala-50-ml134977-300x300.jpg,,
Mild Skin Balancing Vegan Cream,d'Alba,"Calming Botanical Extracts, Hyaluronic Acid, Panthenol (Vitamin B5), Plant-Derived Emollients & Moisturizers, Vegan, low-irritation formula",55ml,Wholesale Face Care,https://qudobeauty.com/product/dalba-mild-skin-balancing-vegan-cream-55ml/,https://qudobeauty.com/wp-content/uploads/2025/04/dalba-mild-skin-balancing-vegan-cream-55ml-6-300x300.webp,https://dalba.com/,"Watery-light textured cream formulated close to the natural skin's pH (5.5~6.5) to balance skin pH for gentle hydration and moisturization with a non-sticky, ..."
